fips,state,county,premature_death_ypll_rate,pm25_avg_concentration,pct_excessive_drinking,pct_rural,food_environment_index,pct_severe_housing_problems,avg_poor_physical_health_days,avg_poor_mental_health_days,pct_food_insecure,drinking_water_violations
55103,WI,Richland,7313.25,8.0,23.6,71.54,6.9,12.79,4.376,5.412,12.2,0.0
55105,WI,Rock,8626.18,9.3,22.4,20.04,7.9,11.41,4.0,5.161,10.8,1.0
55107,WI,Rusk,9153.49,6.5,23.57,100.0,7.4,12.61,4.438,5.557,12.0,1.0
55109,WI,St. Croix,4918.62,7.3,27.7,63.99,9.4,8.38,3.558,5.214,8.4,0.0
55111,WI,Sauk,7554.5,7.4,26.19,44.7,9.0,11.45,4.077,5.381,10.3,0.0
55113,WI,Sawyer,11331.27,5.9,25.18,100.0,7.5,11.66,4.366,5.712,12.9,0.0
55115,WI,Shawano,7117.61,7.4,24.91,70.09,8.7,9.68,4.489,5.852,10.9,1.0
55117,WI,Sheboygan,6925.66,7.7,25.93,29.36,9.2,10.06,3.992,5.129,9.3,0.0
55119,WI,Taylor,6979.73,6.2,25.72,79.34,8.1,12.87,4.286,5.231,10.1,1.0
55121,WI,Trempealeau,6004.78,7.8,24.44,100.0,9.0,9.84,4.016,5.308,9.5,1.0
55123,WI,Vernon,7508.38,8.1,23.73,86.83,8.4,14.58,4.07,5.517,11.4,1.0
55125,WI,Vilas,10459.48,5.0,24.89,100.0,8.7,11.28,3.84,5.379,11.2,1.0
55127,WI,Walworth,7248.41,9.1,24.69,36.91,8.3,12.65,3.708,5.069,9.9,0.0
55129,WI,Washburn,9092.26,5.8,25.42,100.0,8.3,9.95,4.125,5.506,12.3,0.0
55131,WI,Washington,5783.8,8.7,27.42,38.36,9.3,7.41,3.426,4.993,7.7,0.0
55133,WI,Waukesha,5179.25,8.8,25.24,15.21,9.3,11.04,3.204,4.372,7.7,1.0
55135,WI,Waupaca,7172.94,7.7,26.86,63.64,8.9,10.3,3.9,5.295,10.6,0.0
55137,WI,Waushara,8260.6,7.7,25.15,99.65,8.5,11.68,4.507,5.521,11.5,0.0
55139,WI,Winnebago,7250.06,8.3,24.59,17.41,8.4,10.49,3.885,5.557,10.5,1.0
55141,WI,Wood,7716.27,7.8,24.69,35.48,8.3,10.18,3.993,5.361,11.5,0.0
